width,num_params,optimizer,steps,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn,act_fn
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,4,1,0.054881316,0.07297276,0.9922599792480469,0.976699948310852,plots/mlp_loss_2025-01-31_10-49-03.png,plots/mlp_acc_2025-01-31_10-49-04.png,weights/mlp_2025-01-31_10-49-04_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,5,1,0.059551682,0.07501383,0.9903199672698975,0.975600004196167,plots/mlp_loss_2025-01-31_10-50-31.png,plots/mlp_acc_2025-01-31_10-50-31.png,weights/mlp_2025-01-31_10-50-31_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,6,1,0.063010454,0.07632726,0.9882199764251709,0.97489994764328,plots/mlp_loss_2025-01-31_10-51-59.png,plots/mlp_acc_2025-01-31_10-51-59.png,weights/mlp_2025-01-31_10-51-59_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,7,1,0.06685854,0.07756991,0.9859199523925781,0.9749999642372131,plots/mlp_loss_2025-01-31_10-53-27.png,plots/mlp_acc_2025-01-31_10-53-27.png,weights/mlp_2025-01-31_10-53-27_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,8,1,0.07031411,0.079197295,0.9836799502372742,0.9739999771118164,plots/mlp_loss_2025-01-31_10-54-54.png,plots/mlp_acc_2025-01-31_10-54-54.png,weights/mlp_2025-01-31_10-54-54_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,9,1,0.07236759,0.08043109,0.9823399782180786,0.9727999567985535,plots/mlp_loss_2025-01-31_10-56-21.png,plots/mlp_acc_2025-01-31_10-56-22.png,weights/mlp_2025-01-31_10-56-22_state,,
# this is where I started using cross-entropy loss instead of l1
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-06,3,1,0.0526732,0.31874883,1.0,0.9731999635696411,plots/mlp_loss_2025-01-31_11-04-25.png,plots/mlp_acc_2025-01-31_11-04-25.png,weights/mlp_2025-01-31_11-04-25_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,8e-05,3,2,0.18918695,0.29872814,0.9924599528312683,0.9733999967575073,plots/mlp_loss_2025-01-31_11-06-51.png,plots/mlp_acc_2025-01-31_11-06-51.png,weights/mlp_2025-01-31_11-06-51_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0008,0.0001,3,2,0.1773864,0.31711164,0.9936999678611755,0.9709999561309814,plots/mlp_loss_2025-01-31_11-10-23.png,plots/mlp_acc_2025-01-31_11-10-23.png,weights/mlp_2025-01-31_11-10-23_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,0.0001,3,2,0.2163748,0.30116305,0.9893800020217896,0.9722999930381775,plots/mlp_loss_2025-01-31_11-13-07.png,plots/mlp_acc_2025-01-31_11-13-16.png,weights/mlp_2025-01-31_11-13-17_state,,
"[784, 64, 64, 10]",55050,LBFGS,1000,0.02,0.0001,3,2,0.34610203,0.35531327,0.9671799540519714,0.9652999639511108,plots/mlp_loss_2025-01-31_11-14-54.png,plots/mlp_acc_2025-01-31_11-14-59.png,weights/mlp_2025-01-31_11-15-00_state,,
"[784, 64, 64, 10]",55050,LBFGS,1000,0.002,0.0001,3,2,0.32552925,0.34051543,0.9714599847793579,0.9673999547958374,plots/mlp_loss_2025-01-31_11-16-06.png,plots/mlp_acc_2025-01-31_11-16-08.png,weights/mlp_2025-01-31_11-16-09_state,,
"[784, 64, 64, 10]",55050,LBFGS,1000,1,0.0001,3,2,0.20559728,0.28880396,0.9902799725532532,0.974399983882904,plots/mlp_loss_2025-01-31_11-17-41.png,plots/mlp_acc_2025-01-31_11-17-51.png,weights/mlp_2025-01-31_11-17-52_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,0.0001,3,2,0.21622466,0.30112618,0.989039957523346,0.972599983215332,plots/mlp_loss_2025-01-31_11-20-43.png,plots/mlp_acc_2025-01-31_11-20-50.png,weights/mlp_2025-01-31_11-20-51_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,0.0001,2,3,0.16936526,0.2986367,0.994659960269928,0.972000002861023,plots/mlp_loss_2025-01-31_11-25-07.png,plots/mlp_acc_2025-01-31_11-25-11.png,weights/mlp_2025-01-31_11-25-13_state,,
"[784, 64, 64, 10]",55050,Adam,15000,0.0002,0.0002,3,3,0.27439845,0.32648453,0.9797599911689758,0.9681999683380127,plots/mlp_loss_2025-01-31_11-27-55.png,plots/mlp_acc_2025-01-31_11-28-01.png,weights/mlp_2025-01-31_11-28-02_state,,
"[784, 64, 64, 10]",55050,Adam,30000,0.0002,0.0002,3,3,0.25219727,0.3269974,0.9834199547767639,0.9666000008583069,plots/mlp_loss_2025-01-31_11-34-15.png,plots/mlp_acc_2025-01-31_11-34-20.png,weights/mlp_2025-01-31_11-34-22_state,,
"[784, 64, 64, 10]",55050,Adam,10000,0.0002,0.0002,3,3,0.30127785,0.32358104,0.9766833186149597,0.9688999652862549,plots/mlp_loss_2025-01-31_14-20-18.png,plots/mlp_acc_2025-01-31_14-20-37.png,weights/mlp_2025-01-31_14-20-45_state,,
"[784, 64, 64, 16, 10]",55610,Adam,10000,0.0002,0.0002,1,1,0.13094838,0.30129334,0.9980999827384949,0.9739999771118164,plots/mlp_loss_2025-01-31_14-28-25.png,plots/mlp_acc_2025-01-31_14-28-32.png,weights/mlp_2025-01-31_14-28-35_state,,
"[784, 64, 64, 16, 10]",55610,Adam,5000,0.0002,9e-05,1,1,0.12337322,0.29778722,0.9985666871070862,0.9739999771118164,plots/mlp_loss_2025-01-31_14-32-39.png,plots/mlp_acc_2025-01-31_14-32-42.png,weights/mlp_2025-01-31_14-32-43_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00038307917653612126,0.003922612907886965,1,3,0.5686824,0.5713329,0.9065333604812622,0.9049999713897705,plots/mlp_loss_2025-01-31_15-00-51.png,plots/mlp_acc_2025-01-31_15-00-54.png,weights/mlp_2025-01-31_15-00-57_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00023335255895933602,2.6257295540386088e-05,2,5,0.5444097,0.5748245,0.9161999821662903,0.9101999998092651,plots/mlp_loss_2025-01-31_15-04-52.png,plots/mlp_acc_2025-01-31_15-05-04.png,weights/mlp_2025-01-31_15-05-08_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,1.1081960326923127e-05,9.30883929617774e-06,3,4,0.53703076,0.5709294,0.9187000393867493,0.9128999710083008,plots/mlp_loss_2025-01-31_15-07-02.png,plots/mlp_acc_2025-01-31_15-07-14.png,weights/mlp_2025-01-31_15-07-17_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,5.200831604600247e-05,3.644235914150709e-05,4,1,0.38181436,0.39295644,0.9598333239555359,0.9557999968528748,plots/mlp_loss_2025-01-31_15-15-14.png,plots/mlp_acc_2025-01-31_15-15-15.png,weights/mlp_2025-01-31_15-15-15_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,8.037050416483758e-05,1.1913452694920462e-06,5,2,0.04377226,0.35487318,1.0,0.9729999899864197,plots/mlp_loss_2025-01-31_15-17-09.png,plots/mlp_acc_2025-01-31_15-17-09.png,weights/mlp_2025-01-31_15-17-09_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,8.340600688263282e-05,0.00015591097725704592,4,5,0.31489387,0.33184448,0.9756333231925964,0.9691999554634094,plots/mlp_loss_2025-01-31_15-19-00.png,plots/mlp_acc_2025-01-31_15-19-01.png,weights/mlp_2025-01-31_15-19-01_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,1.5913971844949725e-05,5.385169028610624e-06,1,1,0.11842664,0.28421396,0.9986833333969116,0.9751999974250793,plots/mlp_loss_2025-01-31_15-20-53.png,plots/mlp_acc_2025-01-31_15-20-53.png,weights/mlp_2025-01-31_15-20-53_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00018218551972970805,1.5506929178639019e-06,4,5,0.023512062,0.37056595,1.0,0.9738999605178833,plots/mlp_loss_2025-01-31_15-22-44.png,plots/mlp_acc_2025-01-31_15-22-44.png,weights/mlp_2025-01-31_15-22-44_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,6.994912566938418e-05,2.178939962239548e-06,4,1,0.023446342,0.3775802,1.0,0.9735999703407288,plots/mlp_loss_2025-01-31_15-24-37.png,plots/mlp_acc_2025-01-31_15-24-37.png,weights/mlp_2025-01-31_15-24-37_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,5.839776407618385e-05,0.0022297560722422485,3,5,0.4768635,0.47186956,0.9481666684150696,0.9477999806404114,plots/mlp_loss_2025-01-31_15-26-31.png,plots/mlp_acc_2025-01-31_15-26-31.png,weights/mlp_2025-01-31_15-26-31_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0005635698868992874,0.00018852490810771698,1,3,0.13069162,0.29468873,0.9981499910354614,0.9732999801635742,plots/mlp_loss_2025-01-31_15-28-24.png,plots/mlp_acc_2025-01-31_15-28-24.png,weights/mlp_2025-01-31_15-28-24_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0005922799018803431,0.00047746080866088947,4,4,0.35948378,0.36632815,0.9665833711624146,0.9635999798774719,plots/mlp_loss_2025-01-31_15-30-17.png,plots/mlp_acc_2025-01-31_15-30-17.png,weights/mlp_2025-01-31_15-30-17_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,2.485329098042342e-05,5.0309649236703836e-05,5,5,0.51223713,0.507186,0.928933322429657,0.9327999949455261,plots/mlp_loss_2025-01-31_15-35-27.png,plots/mlp_acc_2025-01-31_15-35-27.png,weights/mlp_2025-01-31_15-35-27_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,5.234668628778868e-05,2.1831779640918056e-05,3,4,0.35782394,0.37790057,0.9652166962623596,0.9595999717712402,plots/mlp_loss_2025-01-31_15-37-18.png,plots/mlp_acc_2025-01-31_15-37-18.png,weights/mlp_2025-01-31_15-37-18_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,6.99570982352079e-05,2.266634721151549e-05,4,2,0.32276785,0.3523445,0.9721500277519226,0.9642999768257141,plots/mlp_loss_2025-01-31_15-39-09.png,plots/mlp_acc_2025-01-31_15-39-09.png,weights/mlp_2025-01-31_15-39-09_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00034679902829817463,7.141766241069407e-05,1,2,0.12066875,0.31221223,0.9988166689872742,0.9721999764442444,plots/mlp_loss_2025-01-31_15-41-01.png,plots/mlp_acc_2025-01-31_15-41-01.png,weights/mlp_2025-01-31_15-41-01_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0009402683473837012,9.812345179631409e-05,1,5,0.112210445,0.3068241,0.9991500377655029,0.9738999605178833,plots/mlp_loss_2025-01-31_15-45-02.png,plots/mlp_acc_2025-01-31_15-45-02.png,weights/mlp_2025-01-31_15-45-02_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00010261927661613985,1.8238571277640662e-05,1,1,0.22654076,0.32325977,0.9866499900817871,0.9678999781608582,plots/mlp_loss_2025-01-31_15-46-57.png,plots/mlp_acc_2025-01-31_15-46-57.png,weights/mlp_2025-01-31_15-46-57_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,5.734160079292301e-05,4.448450244756808e-06,5,5,0.32996583,0.36460197,0.9698500037193298,0.9614999890327454,plots/mlp_loss_2025-01-31_15-48-52.png,plots/mlp_acc_2025-01-31_15-48-53.png,weights/mlp_2025-01-31_15-48-53_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,1.549834795191824e-05,2.470963085416473e-05,2,3,0.58331907,0.577147,0.9126499891281128,0.9163999557495117,plots/mlp_loss_2025-01-31_15-50-46.png,plots/mlp_acc_2025-01-31_15-50-46.png,weights/mlp_2025-01-31_15-50-46_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0008418513203122363,0.0004160284682194104,4,2,0.43118885,0.43906695,0.9474000334739685,0.9441999793052673,plots/mlp_loss_2025-01-31_15-52-43.png,plots/mlp_acc_2025-01-31_15-52-43.png,weights/mlp_2025-01-31_15-52-43_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0006199947973949041,1.8304232991328508e-06,5,4,0.037218466,0.38024873,1.0,0.9717999696731567,plots/mlp_loss_2025-01-31_15-54-34.png,plots/mlp_acc_2025-01-31_15-54-34.png,weights/mlp_2025-01-31_15-54-35_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0007631237888980989,3.5767130024372803e-06,2,5,0.031697825,0.42054754,1.0,0.9688999652862549,plots/mlp_loss_2025-01-31_15-56-27.png,plots/mlp_acc_2025-01-31_15-56-27.png,weights/mlp_2025-01-31_15-56-28_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,1.992064791822851e-05,1.6347533541063056e-06,4,2,0.52055895,0.5204233,0.9268500208854675,0.9294999837875366,plots/mlp_loss_2025-01-31_15-58-18.png,plots/mlp_acc_2025-01-31_15-58-18.png,weights/mlp_2025-01-31_15-58-18_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00027230375676114707,1.7637767565032247e-06,4,4,0.059236836,0.3724922,0.9999833703041077,0.9708999991416931,plots/mlp_loss_2025-01-31_16-00-07.png,plots/mlp_acc_2025-01-31_16-00-07.png,weights/mlp_2025-01-31_16-00-07_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.00038351191290943555,1.3114193427357442e-06,3,5,0.03567063,0.4211068,1.0,0.9684000015258789,plots/mlp_loss_2025-01-31_16-01-57.png,plots/mlp_acc_2025-01-31_16-01-57.png,weights/mlp_2025-01-31_16-01-58_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.000997898522397956,0.00032660513592982707,5,4,0.4279941,0.43973565,0.9481500387191772,0.9429999589920044,plots/mlp_loss_2025-01-31_16-05-37.png,plots/mlp_acc_2025-01-31_16-05-37.png,weights/mlp_2025-01-31_16-05-37_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0004639418826196752,5.7990473066541105e-05,3,3,0.17015927,0.29484642,0.994350016117096,0.9734999537467957,plots/mlp_loss_2025-01-31_16-09-16.png,plots/mlp_acc_2025-01-31_16-09-16.png,weights/mlp_2025-01-31_16-09-16_state,,
"[784, 64, 64, 16, 10]",55610,Adam,3000,0.0002074679998451728,8.341110417329803e-05,3,3,0.25972393,0.30581197,0.9826833605766296,0.9722999930381775,plots/mlp_loss_2025-01-31_16-11-05.png,plots/mlp_acc_2025-01-31_16-11-05.png,weights/mlp_2025-01-31_16-11-05_state,,
"[784, 64, 64, 16, 10]",55610,Adam,10000,1.549834795191824e-05,2.470963085416473e-05,2,3,0.28068724,0.33257502,0.9790666699409485,0.967799961566925,plots/mlp_loss_2025-01-31_16-20-06.png,plots/mlp_acc_2025-01-31_16-20-20.png,weights/mlp_2025-01-31_16-20-23_state,,
"[784, 64, 64, 16, 10]",55610,Adam,20000,1.549834795191824e-05,2.470963085416473e-05,2,3,0.10703902,0.30341628,0.9992833733558655,0.9751999974250793,plots/mlp_loss_2025-01-31_16-33-02.png,plots/mlp_acc_2025-01-31_16-33-11.png,weights/mlp_2025-01-31_16-33-16_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.0126357265,0.47157982,1.0,0.9715999960899353,plots/mlp_loss_2025-02-01_20-12-35.png,plots/mlp_acc_2025-02-01_20-12-42.png,weights/mlp_2025-02-01_20-12-43_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.012500564,0.451374,1.0,0.9736999869346619,plots/mlp_loss_2025-02-01_20-13-51.png,plots/mlp_acc_2025-02-01_20-13-54.png,weights/mlp_2025-02-01_20-13-55_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.0117035145,0.46469355,1.0,0.9736999869346619,plots/mlp_loss_2025-02-01_20-15-50.png,plots/mlp_acc_2025-02-01_20-16-00.png,weights/mlp_2025-02-01_20-16-01_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.011612381,0.48692113,1.0,0.9702000021934509,plots/mlp_loss_2025-02-01_20-17-29.png,plots/mlp_acc_2025-02-01_20-17-48.png,weights/mlp_2025-02-01_20-17-49_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.012814161,0.46471226,1.0,0.9710999727249146,plots/mlp_loss_2025-02-01_20-19-04.png,plots/mlp_acc_2025-02-01_20-19-07.png,weights/mlp_2025-02-01_20-19-08_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,1,0.0001,3,2,0.27812812,0.33174476,0.978950023651123,0.9666000008583069,plots/mlp_loss_2025-02-01_20-21-16.png,plots/mlp_acc_2025-02-01_20-21-22.png,weights/mlp_2025-02-01_20-21-23_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,1,0.0001,3,2,0.27498835,0.33054447,0.9794000387191772,0.9666000008583069,plots/mlp_loss_2025-02-01_20-24-23.png,plots/mlp_acc_2025-02-01_20-24-28.png,weights/mlp_2025-02-01_20-24-29_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,5,0.0001,3,2,0.2561939,0.31785688,0.9819833636283875,0.9711999893188477,plots/mlp_loss_2025-02-01_20-26-23.png,plots/mlp_acc_2025-02-01_20-26-26.png,weights/mlp_2025-02-01_20-26-27_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,10,0.0001,3,2,0.24233513,0.30529368,0.9833833575248718,0.9713999629020691,plots/mlp_loss_2025-02-01_20-32-11.png,plots/mlp_acc_2025-02-01_20-32-16.png,weights/mlp_2025-02-01_20-32-17_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,10,0.0001,3,2,0.35237795,0.36119583,0.9675999879837036,0.9645999670028687,plots/mlp_loss_2025-02-01_20-34-03.png,plots/mlp_acc_2025-02-01_20-34-08.png,weights/mlp_2025-02-01_20-34-10_state,,
"[784, 40, 40, 10]",33450,Adam,1000,0.001,0.0001,3,2,0.32980722,0.35152078,0.9711000323295593,0.9644999504089355,plots/mlp_loss_2025-02-01_20-35-12.png,plots/mlp_acc_2025-02-01_20-35-14.png,weights/mlp_2025-02-01_20-35-16_state,,
"[784, 40, 40, 10]",33450,Adam,5000,0.001,0.0001,3,2,0.23323272,0.30574927,0.9866833686828613,0.9720999598503113,plots/mlp_loss_2025-02-01_20-36-17.png,plots/mlp_acc_2025-02-01_20-36-20.png,weights/mlp_2025-02-01_20-36-21_state,,
"[784, 40, 40, 10]",33450,Adam,5000,0.0004639418826196752,5.7990473066541105e-05,3,3,0.20141502,0.3008755,0.9905499815940857,0.9724999666213989,plots/mlp_loss_2025-02-01_20-38-14.png,plots/mlp_acc_2025-02-01_20-38-17.png,weights/mlp_2025-02-01_20-38-18_state,,
"[784, 40, 40, 10]",33450,Adam,5000,0.0004639418826196752,0.000579904730665411,3,3,0.4783111,0.47325143,0.9361000061035156,0.935699999332428,plots/mlp_loss_2025-02-01_20-39-23.png,plots/mlp_acc_2025-02-01_20-39-27.png,weights/mlp_2025-02-01_20-39-28_state,,
"[784, 40, 40, 10]",33450,Adam,10000,0.0004639418826196752,0.000579904730665411,3,3,0.45791286,0.4567831,0.942300021648407,0.9390999674797058,plots/mlp_loss_2025-02-01_20-41-37.png,plots/mlp_acc_2025-02-01_20-41-45.png,weights/mlp_2025-02-01_20-41-48_state,,
"[784, 40, 40, 10]",33450,Adam,15000,0.0005639418826196752,0.000579904730665411,3,3,0.44293904,0.4467637,0.9444500207901001,0.9425999522209167,plots/mlp_loss_2025-02-01_20-44-22.png,plots/mlp_acc_2025-02-01_20-44-29.png,weights/mlp_2025-02-01_20-44-30_state,,
"[784, 40, 40, 10]",33450,Adam,15000,0.0005639418826196752,0.00017990473066541106,3,3,0.27193597,0.32942113,0.9801999926567078,0.9684000015258789,plots/mlp_loss_2025-02-01_20-47-12.png,plots/mlp_acc_2025-02-01_20-47-15.png,weights/mlp_2025-02-01_20-47-19_state,,
"[784, 40, 40, 10]",33450,Adam,10000,0.0005639418826196752,0.000279904730665411,3,3,0.33113408,0.3645362,0.9696666598320007,0.9598999619483948,plots/mlp_loss_2025-02-01_20-49-05.png,plots/mlp_acc_2025-02-01_20-49-09.png,weights/mlp_2025-02-01_20-49-10_state,,
"[784, 40, 40, 10]",33450,Adam,10000,0.0005639418826196752,0.00022,3,3,0.29357687,0.33327428,0.9767667055130005,0.9678999781608582,plots/mlp_loss_2025-02-01_20-51-15.png,plots/mlp_acc_2025-02-01_20-51-19.png,weights/mlp_2025-02-01_20-51-21_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.050704826,0.06917575,0.9911333322525024,0.97489994764328,plots/mlp_loss_2025-02-01_20-57-03.png,plots/mlp_acc_2025-02-01_20-57-08.png,weights/mlp_2025-02-01_20-57-10_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.05580792,0.070878655,0.9907333254814148,0.9774999618530273,plots/mlp_loss_2025-02-01_20-58-29.png,plots/mlp_acc_2025-02-01_20-58-42.png,weights/mlp_2025-02-01_20-58-49_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.060844693,0.07289928,0.9888166785240173,0.9775999784469604,plots/mlp_loss_2025-02-01_20-59-45.png,plots/mlp_acc_2025-02-01_20-59-48.png,weights/mlp_2025-02-01_20-59-51_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.057125427,0.07259428,0.9894833564758301,0.9733999967575073,plots/mlp_loss_2025-02-01_21-01-12.png,plots/mlp_acc_2025-02-01_21-01-16.png,weights/mlp_2025-02-01_21-01-21_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.05328438,0.07148986,0.9912833571434021,0.973800003528595,plots/mlp_loss_2025-02-01_21-02-32.png,plots/mlp_acc_2025-02-01_21-02-35.png,weights/mlp_2025-02-01_21-02-36_state,,
"[784, 40, 40, 10]",33450,LBFGS,200,0.008,2e-06,1,0,0.052719135,0.070440814,0.9908833503723145,0.9731999635696411,plots/mlp_loss_2025-02-01_21-03-20.png,plots/mlp_acc_2025-02-01_21-03-22.png,weights/mlp_2025-02-01_21-03-24_state,,
"[784, 40, 40, 10]",33450,LBFGS,200,0.008,2e-06,1,0,0.053402457,0.07217177,0.990933358669281,0.972599983215332,plots/mlp_loss_2025-02-01_21-04-08.png,plots/mlp_acc_2025-02-01_21-04-11.png,weights/mlp_2025-02-01_21-04-14_state,,
"[784, 40, 40, 10]",33450,LBFGS,200,0.008,2e-06,1,0,0.050345134,0.07019522,0.9914667010307312,0.974299967288971,plots/mlp_loss_2025-02-01_21-05-07.png,plots/mlp_acc_2025-02-01_21-05-11.png,weights/mlp_2025-02-01_21-05-17_state,,
"[784, 40, 40, 10]",33450,LBFGS,200,0.008,2e-06,1,0,0.05147809,0.07063414,0.9917500019073486,0.9740999937057495,plots/mlp_loss_2025-02-01_21-06-00.png,plots/mlp_acc_2025-02-01_21-06-03.png,weights/mlp_2025-02-01_21-06-05_state,,
"[784, 40, 40, 10]",33450,LBFGS,200,0.008,2e-06,1,0,0.05767741,0.07362535,0.9887666702270508,0.973099946975708,plots/mlp_loss_2025-02-01_21-07-05.png,plots/mlp_acc_2025-02-01_21-07-09.png,weights/mlp_2025-02-01_21-07-12_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.050837453,0.06874079,0.9925500154495239,0.976099967956543,plots/mlp_loss_2025-02-01_21-08-50.png,plots/mlp_acc_2025-02-01_21-08-53.png,weights/mlp_2025-02-01_21-08-56_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.01,2e-06,1,0,0.057827488,0.072189465,0.9900833368301392,0.9772999882698059,plots/mlp_loss_2025-02-01_21-10-49.png,plots/mlp_acc_2025-02-01_21-10-51.png,weights/mlp_2025-02-01_21-10-52_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.055392146,0.07161066,0.9905499815940857,0.9747999906539917,plots/mlp_loss_2025-02-01_21-12-24.png,plots/mlp_acc_2025-02-01_21-12-33.png,weights/mlp_2025-02-01_21-12-36_state,,
"[784, 40, 40, 10]",33450,LBFGS,1000,0.008,2e-06,1,0,0.058497608,0.0720689,0.9887666702270508,0.9753999710083008,plots/mlp_loss_2025-02-01_21-16-44.png,plots/mlp_acc_2025-02-01_21-16-47.png,weights/mlp_2025-02-01_21-16-48_state,,
"[784, 40, 40, 10]",33450,Adam,1000,0.008,2e-06,1,0,0.05501708,0.071297936,0.9906499981880188,0.9751999974250793,plots/mlp_loss_2025-02-01_21-16-57.png,plots/mlp_acc_2025-02-01_21-17-00.png,weights/mlp_2025-02-01_21-17-03_state,,
"[784, 40, 40, 10]",33450,Adam,1000,0.008,2e-06,1,0,0.09967384,0.1057604,0.963200032711029,0.9547999501228333,plots/mlp_loss_2025-02-01_21-19-50.png,plots/mlp_acc_2025-02-01_21-19-55.png,weights/mlp_2025-02-01_21-19-58_state,,
"[784, 40, 40, 10]",33450,Adam,2000,0.008,2e-06,1,0,0.08927963,0.095406495,0.9704000353813171,0.9629999995231628,plots/mlp_loss_2025-02-01_21-20-51.png,plots/mlp_acc_2025-02-01_21-21-03.png,weights/mlp_2025-02-01_21-21-05_state,,
"[784, 40, 40, 10]",33450,Adam,2000,0.0008,2e-06,1,0,0.08270526,0.09013067,0.9754999876022339,0.9664999842643738,plots/mlp_loss_2025-02-01_21-21-22.png,plots/mlp_acc_2025-02-01_21-21-37.png,weights/mlp_2025-02-01_21-21-38_state,,
"[784, 40, 40, 10]",33450,Adam,3000,0.008,2e-06,1,0,0.08273171,0.09016018,0.9749333262443542,0.9657999873161316,plots/mlp_loss_2025-02-01_21-22-40.png,plots/mlp_acc_2025-02-01_21-22-46.png,weights/mlp_2025-02-01_21-22-48_state,,
"[784, 40, 40, 10]",33450,Adam,6000,0.0008,2e-06,1,0,0.076059684,0.086167924,0.9806333184242249,0.9693999886512756,plots/mlp_loss_2025-02-01_21-23-41.png,plots/mlp_acc_2025-02-01_21-24-26.png,weights/mlp_2025-02-01_21-24-27_state,,
"[784, 40, 40, 10]",33450,Adam,3000,0.002,4e-06,1,0,0.075596936,0.08454278,0.977150022983551,0.9692999720573425,plots/mlp_loss_2025-02-01_21-26-45.png,plots/mlp_acc_2025-02-01_21-26-47.png,weights/mlp_2025-02-01_21-26-50_state,,
"[784, 40, 40, 10]",33450,Adam,6000,0.001,4e-06,1,0,0.06708871,0.078281865,0.9827666878700256,0.9687999486923218,plots/mlp_loss_2025-02-01_21-27-44.png,plots/mlp_acc_2025-02-01_21-27-46.png,weights/mlp_2025-02-01_21-27-48_state,,
"[784, 40, 40, 10]",33450,Adam,6000,0.002,4e-06,1,0,0.066554375,0.076473564,0.9822500348091125,0.971299946308136,plots/mlp_loss_2025-02-01_21-29-15.png,plots/mlp_acc_2025-02-01_21-29-17.png,weights/mlp_2025-02-01_21-29-19_state,,
"[784, 40, 40, 10]",33450,Adam,6000,0.001,4e-06,1,0,0.06305332,0.07645942,0.9844666719436646,0.9723999500274658,plots/mlp_loss_2025-02-01_21-30-12.png,plots/mlp_acc_2025-02-01_21-30-14.png,weights/mlp_2025-02-01_21-30-19_state,,
