width,num_params,optimizer,steps,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn,act_fn
"[784, 30, 20, 20, 20, 15, 10]",25485,Adam,2000,0.005,1e-06,1,1,0.034019604,0.08035165,0.9940399527549744,0.9614999890327454,plots/mlp_loss_2025-01-29_17-10-55.png,plots/mlp_acc_2025-01-29_17-10-58.png,weights/mlp_2025-01-29_17-10-59_state,,
"[784, 30, 20, 20, 20, 15, 10]",25485,Adam,2000,0.005,1e-05,1,1,0.050950903,0.076543376,0.9883599877357483,0.9634999632835388,plots/mlp_loss_2025-01-29_17-11-34.png,plots/mlp_acc_2025-01-29_17-11-38.png,weights/mlp_2025-01-29_17-11-39_state,,
"[784, 40, 40, 10]",33450,Adam,2000,0.005,1e-05,1,1,0.08678364,0.09065456,0.9709399938583374,0.9662999510765076,plots/mlp_loss_2025-01-30_13-29-26.png,plots/mlp_acc_2025-01-30_13-29-32.png,weights/mlp_2025-01-30_13-29-33_state,,
"[784, 40, 40, 10]",33450,LBFGS,2000,0.005,1e-05,1,1,0.099819206,0.10081458,0.9556599855422974,0.9531999826431274,plots/mlp_loss_2025-01-30_13-32-10.png,plots/mlp_acc_2025-01-30_13-32-15.png,weights/mlp_2025-01-30_13-32-17_state,,
"[784, 40, 40, 10]",33450,LBFGS,2000,10,1e-05,1,1,0.084688105,0.08985747,0.9736599922180176,0.9672999978065491,plots/mlp_loss_2025-01-30_13-35-08.png,plots/mlp_acc_2025-01-30_13-35-10.png,weights/mlp_2025-01-30_13-35-11_state,,
"[784, 40, 30, 20, 15, 10]",33725,LBFGS,2000,10,1e-05,1,1,0.04829898,0.08308352,0.9903799891471863,0.9596999883651733,plots/mlp_loss_2025-01-30_13-40-55.png,plots/mlp_acc_2025-01-30_13-41-03.png,weights/mlp_2025-01-30_13-41-05_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,2000,0.005,1e-05,1,1,0.05589963,0.07504733,0.9860999584197998,0.967199981212616,plots/mlp_loss_2025-01-30_13-42-45.png,plots/mlp_acc_2025-01-30_13-42-50.png,weights/mlp_2025-01-30_13-42-52_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,2000,0.0005,1e-05,1,1,0.08104316,0.08600814,0.9698599576950073,0.9637999534606934,plots/mlp_loss_2025-01-30_13-44-50.png,plots/mlp_acc_2025-01-30_13-44-54.png,weights/mlp_2025-01-30_13-44-55_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,4000,0.0005,1e-05,1,1,0.06598728,0.07712865,0.9810199737548828,0.9662999510765076,plots/mlp_loss_2025-01-30_13-45-55.png,plots/mlp_acc_2025-01-30_13-45-57.png,weights/mlp_2025-01-30_13-45-59_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,4000,0.0005,1.8e-05,1,1,0.077987544,0.08449934,0.9705399870872498,0.9598000049591064,plots/mlp_loss_2025-01-30_13-47-41.png,plots/mlp_acc_2025-01-30_13-47-44.png,weights/mlp_2025-01-30_13-47-49_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,4000,0.00059,1.8e-05,1,1,0.0760346,0.08331494,0.9723999500274658,0.9611999988555908,plots/mlp_loss_2025-01-30_13-49-25.png,plots/mlp_acc_2025-01-30_13-49-29.png,weights/mlp_2025-01-30_13-49-30_state,,
"[784, 40, 30, 20, 15, 10]",33725,Adam,4000,0.00059,3e-05,1,1,0.094552904,0.09842151,0.9523800015449524,0.9460999965667725,plots/mlp_loss_2025-01-30_13-50-33.png,plots/mlp_acc_2025-01-30_13-50-42.png,weights/mlp_2025-01-30_13-50-44_state,,
