width,num_params,optimizer,steps,grid,k,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn
"[[784, 0], [20, 0], [20, 0], [10, 0]]",270568,Adam,100,5,3,0.005,1.8e-05,1,1,0.11713567,0.11973966,0.9461999535560608,0.9399999976158142,plots/kan_loss_2025-01-29_17-13-29.png,plots/kan_acc_2025-01-29_17-13-45.png,weights/kan_2025-01-29_17-13-47_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.5440637755784717,1.530619589408222e-07,1,1,0.3053218,0.474844,0.9751666784286499,0.9396999478340149,plots/kan_loss_2025-02-06_19-25-35.png,plots/kan_acc_2025-02-06_19-25-35.png,weights/kan_2025-02-06_19-25-36_state,CrossEntropy
"[[784, 0], [20, 0], [20, 0], [10, 0]]",270568,Adam,500,5,3,0.005,1e-05,1,1,0.0976162,0.10903147,0.9587799906730652,0.9390999674797058,plots/kan_loss_2025-01-29_17-29-05.png,plots/kan_acc_2025-01-29_17-29-15.png,weights/kan_2025-01-29_17-29-25_state,
"[[784, 0], [48, 0], [40, 0], [24, 0], [10, 0]]",419168,LBFGS,10,6,3,0.011952740394766528,2.3297864387156498e-05,2,1,0.11336316,0.11550418,0.9398500323295593,0.9388999938964844,plots/kan_loss_2025-02-03_17-36-43.png,plots/kan_acc_2025-02-03_17-36-44.png,weights/kan_2025-02-03_17-36-44_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.39392928751124434,2.643986879212051e-07,2,2,0.28476593,0.48058495,0.9787499904632568,0.9388999938964844,plots/kan_loss_2025-02-06_18-37-51.png,plots/kan_acc_2025-02-06_18-37-51.png,weights/kan_2025-02-06_18-37-51_state,CrossEntropy
"[[784, 0], [32, 0], [10, 0]]",238464,Adam,3000,5,3,0.00016174459651890989,1.1961020663208116e-05,2,1,0.08561205,0.12548934,0.9865000247955322,0.9386000037193298,plots/kan_loss_2025-02-04_21-12-27.png,plots/kan_acc_2025-02-04_21-12-28.png,weights/kan_2025-02-04_21-12-28_state,
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.6302556771307368,3.5210596504515815e-07,2,1,0.387859,0.4572123,0.9569166898727417,0.9380999803543091,plots/kan_loss_2025-02-06_19-03-53.png,plots/kan_acc_2025-02-06_19-03-53.png,weights/kan_2025-02-06_19-03-53_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.3954818026261593,2.4265761525248825e-07,2,2,0.31658673,0.46794912,0.9715499877929688,0.9378999471664429,plots/kan_loss_2025-02-06_18-46-32.png,plots/kan_acc_2025-02-06_18-46-32.png,weights/kan_2025-02-06_18-46-32_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.2525962742150241,8.251199796399788e-07,4,3,0.29569682,0.4816116,0.9764500260353088,0.9377999901771545,plots/kan_loss_2025-02-06_18-16-08.png,plots/kan_acc_2025-02-06_18-16-08.png,weights/kan_2025-02-06_18-16-08_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.5441003478036581,4.587946917226849e-07,3,3,0.3778122,0.47501418,0.9600499868392944,0.9376999735832214,plots/kan_loss_2025-02-06_17-15-18.png,plots/kan_acc_2025-02-06_17-15-19.png,weights/kan_2025-02-06_17-15-19_state,CrossEntropy
